2026-02-07 10:04:19 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: PACIENTE_FORA -> MONITORANDO
2026-02-07 10:04:22 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:04:22 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_100422_050_PACIENTE_FORA.jpg
2026-02-07 10:04:24 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | INFO | Sistema de monitoramento encerrado
2026-02-07 10:11:53 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | INFO | Sistema de monitoramento iniciado
2026-02-07 10:12:24 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: AGUARDANDO -> MONITORANDO
2026-02-07 10:12:38 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | AGUARDANDO | Transicao: MONITORANDO -> AGUARDANDO
2026-02-07 10:12:51 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: AGUARDANDO -> MONITORANDO
2026-02-07 10:13:09 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | RISCO_POTENCIAL | Transicao: MONITORANDO -> RISCO_POTENCIAL
2026-02-07 10:13:09 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101309_156_RISCO_POTENCIAL.jpg
2026-02-07 10:13:09 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: RISCO_POTENCIAL -> MONITORANDO
2026-02-07 10:13:12 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | RISCO_POTENCIAL | Transicao: MONITORANDO -> RISCO_POTENCIAL
2026-02-07 10:13:12 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101312_195_RISCO_POTENCIAL.jpg
2026-02-07 10:13:13 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: RISCO_POTENCIAL -> PACIENTE_FORA
2026-02-07 10:13:13 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101313_015_PACIENTE_FORA.jpg
2026-02-07 10:13:18 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | RISCO_POTENCIAL | Transicao: PACIENTE_FORA -> RISCO_POTENCIAL
2026-02-07 10:13:18 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101318_702_RISCO_POTENCIAL.jpg
2026-02-07 10:13:20 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: RISCO_POTENCIAL -> MONITORANDO
2026-02-07 10:14:04 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | RISCO_POTENCIAL | Transicao: MONITORANDO -> RISCO_POTENCIAL
2026-02-07 10:14:04 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101404_808_RISCO_POTENCIAL.jpg
2026-02-07 10:14:07 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: RISCO_POTENCIAL -> MONITORANDO
2026-02-07 10:14:22 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | RISCO_POTENCIAL | Transicao: MONITORANDO -> RISCO_POTENCIAL
2026-02-07 10:14:22 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101422_505_RISCO_POTENCIAL.jpg
2026-02-07 10:14:28 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: RISCO_POTENCIAL -> PACIENTE_FORA
2026-02-07 10:14:28 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101428_251_PACIENTE_FORA.jpg
2026-02-07 10:14:37 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | RISCO_POTENCIAL | Transicao: PACIENTE_FORA -> RISCO_POTENCIAL
2026-02-07 10:14:37 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101437_959_RISCO_POTENCIAL.jpg
2026-02-07 10:14:44 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: RISCO_POTENCIAL -> MONITORANDO
2026-02-07 10:15:10 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:15:10 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101510_953_PACIENTE_FORA.jpg
2026-02-07 10:19:25 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | INFO | Sistema de monitoramento iniciado
2026-02-07 10:19:38 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: AGUARDANDO -> MONITORANDO
2026-02-07 10:19:45 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | RISCO_POTENCIAL | Transicao: MONITORANDO -> RISCO_POTENCIAL
2026-02-07 10:19:45 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101945_516_RISCO_POTENCIAL.jpg
2026-02-07 10:19:49 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: RISCO_POTENCIAL -> PACIENTE_FORA
2026-02-07 10:19:49 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_101949_341_PACIENTE_FORA.jpg
2026-02-07 10:40:29 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | INFO | Sistema de monitoramento iniciado
2026-02-07 10:40:41 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: AGUARDANDO -> MONITORANDO
2026-02-07 10:40:53 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | AGUARDANDO | Transicao: MONITORANDO -> AGUARDANDO
2026-02-07 10:41:01 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: AGUARDANDO -> MONITORANDO
2026-02-07 10:41:06 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:41:06 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_104106_452_PACIENTE_FORA.jpg
2026-02-07 10:41:26 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | AGUARDANDO | Transicao: PACIENTE_FORA -> AGUARDANDO
2026-02-07 10:41:37 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | INFO | Sistema de monitoramento encerrado
2026-02-07 10:47:37 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | INFO | Sistema de monitoramento iniciado
2026-02-07 10:47:47 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: AGUARDANDO -> MONITORANDO
2026-02-07 10:48:07 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:48:07 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_104807_274_PACIENTE_FORA.jpg
2026-02-07 10:49:30 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | INFO | Sistema de monitoramento iniciado
2026-02-07 10:49:40 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: AGUARDANDO -> MONITORANDO
2026-02-07 10:50:05 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: MONITORANDO -> PACIENTE_FORA
2026-02-07 10:50:05 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_105005_258_PACIENTE_FORA.jpg
2026-02-07 10:59:54 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | INFO | Sistema de monitoramento iniciado
2026-02-07 11:00:06 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | MONITORANDO | Transicao: AGUARDANDO -> MONITORANDO
2026-02-07 11:00:37 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | RISCO_POTENCIAL | Transicao: MONITORANDO -> RISCO_POTENCIAL
2026-02-07 11:00:37 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_110037_586_RISCO_POTENCIAL.jpg
2026-02-07 11:00:42 | DEV-PC-01 | Desenvolvimento | Lab | 01 | WARNING | ALERTA | PACIENTE_FORA | Transicao: RISCO_POTENCIAL -> PACIENTE_FORA
2026-02-07 11:00:42 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | SISTEMA | IMAGEM_SALVA | data/alert_images\alert_20260207_110042_754_PACIENTE_FORA.jpg
2026-02-07 11:01:02 | DEV-PC-01 | Desenvolvimento | Lab | 01 | INFO | TRANSICAO | AGUARDANDO | Transicao: PACIENTE_FORA -> AGUARDANDO
